topic,demography,sociology,words
1,9.168127904795506e-4,0.004999783436373168, sexual sex behavior intercourse sexuality premarital activity experience relationship reported frequency sexually relations attitudes coitus dating behaviors relationships extramarital desire
2,0.0076087381021485104,0.0019226564071531745, refugees refugee asylum international resettlement country unhcr displaced government political humanitarian camps protection seekers persons assistance displacement return forced camp
3,0.0035894504303322435,0.009736536741092238, white negro nonwhite whites negroes nonwhites race census color median racial colored persons farm status differential percentage proportion native races
4,0.002130450676165036,0.0038454804935489474, economic economy market business sector capital industry informal services firms small production markets manufacturing industries businesses sectors industrial economies goods
5,6.587190453084409e-4,0.0033830005053026306, students school schools student achievement academic grade teachers performance grades educational teacher public mathematics national success found math differences learning
6,0.0036821335382475747,0.0031759845183776166, household households living head size members heads live composition arrangements single persons extended adult type adults house unit types person
7,0.0062470043229628965,0.004826975809810003, women woman female educated mothers husband bear gave husbands motherhood children counterparts lives childbearing lifetime education wives liberation aged borne
8,0.004496473237813272,0.0122876183807033, persons cases factors made fund general quarterly found memorial group city milbank age born present york area relation factor groups
9,0.003399451771522817,0.0064626175021700325, income inequality economic distribution incomes relative median average levels top share gini sources absolute ratio bottom inequalities equality quintile lowest
10,5.0921647063328e-4,0.001408417246979403, poverty poor economic line deprivation income living hardship disadvantaged underclass threshold nonpoor measure resources wilson material disadvantage official low policy
11,1.8193959130557074e-5,3.1330914743451775e-5, springer studies analysis review doi association management published fig pdf gov science retrieved compared usa internet database html access researchers
12,0.0015649917160198935,0.0021593797897197123, interviews participants interview information focus don asked interviewed conducted felt reported made qualitative problems findings discussion questions lack feel experiences
13,0.0020654598669562273,0.0012299903977587249, risk duration hazard event events probability period risks months exit history transition entry individuals covariates information experience spells heterogeneity probabilities
14,0.008612505005183034,0.010014851760964588, states united american national york washington america bureau nation office americans center academy printing annals government department abstract nations today
15,0.006384086933443736,0.002567032165314504, countries european europe country germany western france netherlands italy eastern spain hungary sweden oecd belgium austria kingdom republic international states
